Name,ID,Day,Time,Time Offset,TimeOffset.mmss,GMT,Tag.Time,Snap,Follow.Time,Tdiff,Distance.RF,Distance.V,Bearing.Goni,Bearing.HH,TagClear,TCL,TCC,TCR,Behav,WPT,Comments,Count,Satellites,Bad Sats,Good.Sats,Residual,Time Error,Latitude,Longitude,Failures,Hauled Out,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
179062,F283,4-Jun-19,2:25:59,-8,0:00:08,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,1,2,,2,,,,,,1,,,,,,,,,,,15,14,23902,,,10,32,31634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,5-Jun-19,15:40:55,-16,0:00:16,4:00:00,11:40:39,0,,,,,,,,,,,,,,1,4,,4,,,,,,0,27.478,-82.6783,6/6/2019 10:22,SR,,,,,,,15,28,30480,,,37,4,873,,,,23,2168,,,,7,25541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,5-Jun-19,16:40:25,-16,0:00:16,4:00:00,12:40:09,0,,,,,,,,,,,,,,2,4,,4,0.3,-0.2,27.4742,-82.6553,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.4742,-82.6553,,,,,15,18,10032,,,,9,15770,,,,1,26751,,,,7,22434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,5-Jun-19,16:51:05,-16,0:00:16,4:00:00,12:50:49,0,,,,,,,,,,,,,,2,5,,5,8.4,-1.4,27.4764,-82.6601,,0,27.4764,-82.6601,50:47.6,FastGPS,27.4764,-82.6601,,,,,15,7,24707,,,41,17,21046,,,,1,20714,,,,11,31753,,,,30,9050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,5-Jun-19,17:02:14,-16,0:00:16,4:00:00,13:01:58,0,,,,,,,,,,,,,,1,4,,4,0.5,-0.8,27.4769,-82.6607,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.4769,-82.6607,,,,,15,17,19924,,,,11,20213,,,,1,27853,,,,7,7622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,5-Jun-19,17:17:44,-16,0:00:16,4:00:00,13:17:28,0,,,,,,,,,,,,,,1,4,,4,0.7,-0.7,27.4771,-82.6602,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.4771,-82.6602,,,,,15,19,16986,,,39,17,30956,,,,7,13314,,,,1,31714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,5-Jun-19,17:48:44,-16,0:00:16,4:00:00,13:48:28,0,,,,,,,,,,,,,,1,4,,4,7.9,-0.7,27.4766,-82.6596,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.4766,-82.6596,,,,,15,7,25687,,,,1,28484,,,,3,28199,,,,30,6076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,5-Jun-19,18:04:48,-17,0:00:17,4:00:00,14:04:31,0,,,,,,,,,,,,,,2,4,,4,11.2,0.3,27.4768,-82.6629,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.4768,-82.6629,,,,,15,17,31033,,,43,28,24469,,,,1,3522,,,,19,29537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,5-Jun-19,18:35:58,-17,0:00:17,4:00:00,14:35:41,0,,,,,,,,,,,,,,2,4,,4,0.7,0.2,27.4753,-82.6931,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.4753,-82.6931,,,,,15,28,5555,,,,7,14480,,,,17,18267,,,,19,29309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,5-Jun-19,19:06:15,-17,0:00:17,4:00:00,15:05:58,0,15:15:17,0:09:19,,,,,,,,,,,,1,4,,4,0.2,-0.3,27.4747,-82.6987,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.4747,-82.6987,,,,,15,3,24718,,,,19,6758,,,,17,24998,,,,22,12473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,5-Jun-19,19:21:16,-17,0:00:17,4:00:00,15:20:59,1,15:21:00,0:00:01,,30,,340,Y,Y,Y,Y,,,,1,4,,4,0.2,0.2,27.4854,-82.7022,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.4854,-82.7022,,,,,15,3,29865,,,,6,26040,,,,17,8121,,,,28,5024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,5-Jun-19,19:52:41,-17,0:00:17,4:00:00,15:52:24,0,15:47:52,0:04:32,,,,,,,,,,,,6,6,,6,8.6,0.3,27.4988,-82.7009,,0,27.4988,-82.7009,52:24.3,FastGPS,27.4988,-82.7009,,,,,15,17,26994,,,40,3,29896,,,,24,13235,,,,28,28591,,,,19,16584,,,,6,21506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,5-Jun-19,20:24:29,-17,0:00:17,4:00:00,16:24:12,1,16:24:20,0:00:08,,100,,340,Y,Y,Y,Y,TR,,,4,5,,5,14.1,-0.5,27.5023,-82.7078,,0,27.5023,-82.7078,24:11.5,FastGPS,27.5023,-82.7078,,,,,15,28,5870,,,41,17,31695,,,,2,8797,,,,3,14020,,,,19,8016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
