Name,ID,Day,Time,Time Offset,TimeOffset.mmss,GMT,Tag.Time,Snap,Follow.Time,Tdiff,Distance.RF,Distance.V,Bearing.Goni,Bearing.HH,TagClear,TCL,TCC,TCR,Behav,WPT,Comments,Count,Satellites,Bad Sats,Good.Sats,Residual,Time Error,Latitude,Longitude,LocNumber,Failures,Hauled Out,InitLat,InitLon,InitTime,InitType,Height,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
179063,F266,6-Jun-19,20:47:47,-19,0:00:19,4:00:00,16:47:28,1,16:47:28,0:00:00,,50,,335,Y,Y,Y,Y,TR,,,2,5,1,4,0.3,0.6,27.3496,-82.5993,,,0,27.425,-82.6698,6/6/2019 23:34,NK,,,,,15,17,12880,,,44,6,9178,,,,19,1484,,,,28,14722,,,,2,6964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179063,F266,6-Jun-19,21:53:42,-19,0:00:19,4:00:00,17:53:23,0,18:08:55,0:15:32,,,,,,,,,,,,1,6,1,5,5.1,-0.4,27.407,-82.6234,,,0,27.407,-82.6234,53:22.6,FastGPS,,,,,15,17,29197,,,45,6,29814,,,,19,9892,,,,2,4987,,,,12,29810,,,,4,27848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179063,F266,7-Jun-19,0:10:00,-19,0:00:19,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,1,6,1,5,7.2,-0.1,27.4448,-82.6857,,,0,27.4448,-82.6857,09:40.9,FastGPS,,,,,15,12,10669,,,44,6,2490,,,,4,16066,,,,2,13055,,,,25,27602,,,,19,7108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179063,F266,7-Jun-19,0:26:37,-20,0:00:20,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,2,4,,4,0.5,-0.6,27.4443,-82.6876,,,0,27.425,-82.6698,6/6/2019 23:34,NK,,,,,15,12,26496,,,,2,11883,,,,6,4098,,,,5,3210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179063,F266,7-Jun-19,0:42:40,-20,0:00:20,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,1,4,,4,0.8,-0.2,27.4438,-82.6849,,,0,27.425,-82.6698,6/6/2019 23:34,NK,,,,,15,29,16271,,,39,5,18820,,,,12,21872,,,,13,4514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179063,F266,7-Jun-19,0:57:41,-20,0:00:20,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,1,4,,4,0.9,46.8,31.3733,-84.2768,,,0,27.425,-82.6698,6/6/2019 23:34,NK,,,,,15,25,21390,,,41,5,24966,,,,2,13491,,,,29,25815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179063,F266,7-Jun-19,1:14:10,-20,0:00:20,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,1,4,,4,0.3,-1.1,27.4436,-82.6868,,,0,27.425,-82.6698,6/6/2019 23:34,NK,,,,,15,29,21710,,,,13,27909,,,,5,19774,,,,2,29572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179063,F266,7-Jun-19,1:30:16,-20,0:00:20,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,2,4,,4,0.2,-0.6,27.4466,-82.6849,,,0,27.425,-82.6698,6/6/2019 23:34,NK,,,,,15,15,17893,,,,5,20614,,,,13,8664,,,,29,10874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179063,F266,7-Jun-19,1:47:13,-20,0:00:20,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,1,4,,4,0.7,-0.9,27.4434,-82.6878,,,0,27.425,-82.6698,6/6/2019 23:34,NK,,,,,15,5,1982,,,43,2,7346,,,,29,2745,,,,15,10419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179063,F266,7-Jun-19,2:03:16,-20,0:00:20,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,2,5,,5,4.5,-1.2,27.4434,-82.6858,,,0,27.4434,-82.6858,02:54.8,FastGPS,,,,,15,15,11857,,,40,5,9219,,,,29,4908,,,,2,19336,,,,13,18832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
