Name,ID,Day,Time,Time Offset,TimeOffset.mmss,GMT,Tag.Time,Snap,Follow.Time,Tdiff,Distance.RF,Distance.V,Bearing.Goni,Bearing.HH,TagClear,TCL,TCC,TCR,Behav,WPT,Comments,Count,Satellites,Bad Sats,Good.Sats,Residual,Time Error,Latitude,Longitude,InitLat,InitLon,InitTime,InitType,Height,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
179064,F264,6-Jun-19,19:20:36,-19,0:00:19,4:00:00,15:20:17,0,,,,,,,,,,,,,,2,4,,4,0.4,-1,27.3402,-82.5851,27.4058,-82.6168,6/6/2019 22:24,NP,,,,,15,17,29411,,,,28,26589,,,,6,21750,,,,19,28884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,6-Jun-19,19:50:36,-19,0:00:19,4:00:00,15:50:17,0,16:38:07,0:47:50,,,,,,,,,,,,1,4,,4,0.2,-1.5,27.3401,-82.586,27.4058,-82.6168,6/6/2019 22:24,NP,,,,,15,6,24418,,,41,19,18488,,,,24,14686,,,,28,28977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,6-Jun-19,20:36:56,-19,0:00:19,4:00:00,16:36:37,1,16:38:07,0:01:30,20,,,240,Y,Y,Y,Y,,,,1,6,,6,9.4,-1.8,27.3403,-82.5908,27.3403,-82.5908,36:35.2,FastGPS,,,,,15,2,11500,,,42,6,4636,,,,19,20040,,,,17,3620,,,,3,30420,,,,9,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,6-Jun-19,20:52:16,-19,0:00:19,4:00:00,16:51:57,1,16:51:56,0:00:01,,70,,275,Y,Y,Y,Y,TR,,,1,5,,5,5.4,-2.1,27.355,-82.6023,27.355,-82.6023,51:54.9,FastGPS,,,,,15,28,30050,,,40,24,20500,,,,6,2600,,,,9,15770,,,,17,8556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,6-Jun-19,21:07:41,-20,0:00:20,4:00:00,17:07:21,1,17:07:21,0:00:00,,100,,255,Y,Y,Y,Y,TR,,,1,7,1,6,11.9,-1.1,27.3724,-82.6066,27.3724,-82.6066,07:19.9,FastGPS,,,,,15,9,22513,,,,17,4116,,,,28,11664,,,,6,22394,,,,12,13944,,,,4,3810,,,,24,3144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,6-Jun-19,21:38:21,-20,0:00:20,4:00:00,17:38:01,0,17:16:38,0:21:23,,,,,,,,,,,,1,5,,5,8.3,-1.7,27.3937,-82.6163,27.3937,-82.6163,37:59.3,FastGPS,,,,,15,17,16593,,,46,12,24741,,,,19,24750,,,,6,20330,,,,2,28920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,6-Jun-19,21:53:25,-20,0:00:20,4:00:00,17:53:05,0,18:08:55,0:15:50,,,,,,,,,,,,1,4,,4,1.1,-1.8,27.4071,-82.6227,27.4058,-82.6168,6/6/2019 22:24,NP,,,,,15,5,8414,,,,17,5972,,,,12,5472,,,,2,13881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,6-Jun-19,22:23:58,-20,0:00:20,4:00:00,18:23:38,0,18:20:57,0:02:41,,,,,,,,,,,,2,4,,4,0.5,-0.5,27.4087,-82.6078,27.4058,-82.6168,6/6/2019 22:24,NP,,,,,15,12,12796,,,,6,20937,,,,2,24420,,,,9,30046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,6-Jun-19,22:56:50,-20,0:00:20,4:00:00,18:56:30,0,21:59:00,3:02:30,,,,,,,,,,,,1,8,1,7,4.7,-1.4,27.4063,-82.6287,27.4063,-82.6287,56:28.6,FastGPS,,,,,15,19,12447,,,,5,25114,,,,2,20640,,,,6,18174,,,,25,5566,,,,4,21610,,,,12,26218,,,,17,13820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,6-Jun-19,23:12:08,-20,0:00:20,4:00:00,19:11:48,0,,,,,,,,,,,,,,2,4,,4,0.2,-1.5,27.4132,-82.6311,27.4063,-82.6287,56:28.6,FastGPS,,,,,15,5,1139,,,,2,19248,,,,25,20915,,,,12,1434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,6-Jun-19,23:27:34,-20,0:00:20,4:00:00,19:27:14,0,,,,,,,,,,,,,,3,4,,4,0.1,-1.6,27.4115,-82.634,27.4063,-82.6287,56:28.6,FastGPS,,,,,15,5,31400,,,41,2,15647,,,,6,19652,,,,25,24038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,6-Jun-19,23:42:34,-20,0:00:20,4:00:00,19:42:14,0,,,,,,,,,,,,,,4,6,1,5,6.3,-1.7,27.4145,-82.6257,27.4145,-82.6257,42:12.3,FastGPS,,,,,15,12,32669,,,45,5,31180,,,,2,22257,,,,4,28182,,,,6,30570,,,,25,27800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,6-Jun-19,23:57:56,-20,0:00:20,4:00:00,19:57:36,0,,,,,,,,,,,,,,1,4,,4,0.6,-2.3,27.4234,-82.6154,27.4063,-82.6287,56:28.6,FastGPS,,,,,15,13,15976,,,,12,20181,,,,2,20346,,,,5,15665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,7-Jun-19,0:14:54,-20,0:00:20,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,3,5,,5,13,-1.7,27.4186,-82.6197,27.4186,-82.6197,14:32.3,FastGPS,,,,,15,29,32245,,,40,13,30997,,,,5,11978,,,,12,20093,,,,2,4580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,7-Jun-19,0:31:33,-20,0:00:20,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,4,4,,4,0.6,-2.3,27.4141,-82.6307,27.4063,-82.6287,56:28.6,FastGPS,,,,,15,5,26882,,,45,29,1791,,,,2,10396,,,,13,27891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,7-Jun-19,0:47:52,-20,0:00:20,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,3,4,,4,0.5,-1.4,27.4169,-82.6379,27.4063,-82.6287,56:28.6,FastGPS,,,,,15,29,21844,,,,5,164,,,,2,7792,,,,13,8567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,7-Jun-19,1:34:26,-21,0:00:21,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,1,4,,4,0.3,-0.7,27.3949,-82.6192,27.4063,-82.6287,56:28.6,FastGPS,,,,,15,5,28863,,,41,2,26671,,,,21,5036,,,,29,30724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,7-Jun-19,2:07:38,-21,0:00:21,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,1,4,,4,0.6,-1.3,27.3817,-82.5998,27.4063,-82.6287,56:28.6,FastGPS,,,,,15,5,5371,,,,21,13786,,,,2,16444,,,,20,24026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,7-Jun-19,2:37:57,-21,0:00:21,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,15,5,12176,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,7-Jun-19,3:09:47,-21,0:00:21,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,1,4,,4,0.5,-1.5,27.3599,-82.6045,27.4063,-82.6287,56:28.6,FastGPS,,,,,15,29,7153,,,,21,16379,,,,15,1396,,,,20,23897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,7-Jun-19,3:25:12,-21,0:00:21,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,2,6,2,4,1.3,-2,27.3528,-82.6003,27.4063,-82.6287,56:28.6,FastGPS,,,,,15,10,29114,,,42,15,18027,,,,24,24726,,,,20,15217,,,,13,26278,,,,29,3010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,7-Jun-19,3:40:58,-21,0:00:21,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,1,4,,4,0.7,-1.3,27.3477,-82.6002,27.4063,-82.6287,56:28.6,FastGPS,,,,,15,24,1089,,,,21,16362,,,,20,22448,,,,29,11170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,7-Jun-19,4:14:42,-21,0:00:21,4:00:00,0:14:21,0,,,,,,,,,,,,,,2,4,,4,0.9,-1.7,27.3435,-82.5958,27.4063,-82.6287,56:28.6,FastGPS,,,,,15,15,2211,,,,24,11937,,,,10,31052,,,,20,28094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,7-Jun-19,4:29:55,-21,0:00:21,4:00:00,0:29:34,0,,,,,,,,,,,,,,1,5,,5,1.1,-1.5,27.351,-82.6031,27.351,-82.6031,29:32.5,FastGPS,,,,,15,20,24074,,,43,10,5615,,,,24,13200,,,,21,3671,,,,15,16260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,7-Jun-19,4:45:03,-21,0:00:21,4:00:00,0:44:42,0,,,,,,,,,,,,,,1,5,,5,8.1,-1.6,27.3531,-82.6071,27.3531,-82.6071,44:40.4,FastGPS,,,,,15,10,5088,,,43,24,28214,,,,15,22724,,,,20,9393,,,,21,26268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,7-Jun-19,5:01:10,-21,0:00:21,4:00:00,1:00:49,0,,,,,,,,,,,,,,3,4,,4,0.3,-1.5,27.3579,-82.6015,27.4063,-82.6287,56:28.6,FastGPS,,,,,15,24,6204,,,43,10,15046,,,,20,701,,,,21,14004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,7-Jun-19,5:35:01,-21,0:00:21,4:00:00,1:34:40,0,,,,,,,,,,,,,,1,7,3,4,0.1,-1.5,27.3633,-82.608,27.4063,-82.6287,56:28.6,FastGPS,,,,,15,32,25041,,,,10,17844,,,,21,4803,,,,14,7714,,,,20,16494,,,,12,10040,,,,15,9226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,7-Jun-19,5:50:11,-22,0:00:22,4:00:00,1:49:49,0,,,,,,,,,,,,,,1,7,3,4,1.2,-19.4,29.5674,-78.3476,27.4063,-82.6287,56:28.6,FastGPS,,,,,15,10,6776,,,45,32,4916,,,,21,20038,,,,25,11692,,,,20,8978,,,,14,28468,,,,12,4254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,7-Jun-19,6:06:33,-22,0:00:22,4:00:00,2:06:11,0,,,,,,,,,,,,,,2,4,,4,0.5,-1.2,27.346,-82.5981,27.4063,-82.6287,56:28.6,FastGPS,,,,,15,21,27200,,,,25,27549,,,,12,29649,,,,10,28165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,7-Jun-19,6:21:58,-22,0:00:22,4:00:00,2:21:36,0,,,,,,,,,,,,,,2,6,2,4,0.4,-1.1,27.3486,-82.5965,27.4063,-82.6287,56:28.6,FastGPS,,,,,15,10,25572,,,43,32,9459,,,,14,16834,,,,21,15830,,,,24,18856,,,,25,20584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179064,F264,7-Jun-19,6:37:47,-22,0:00:22,4:00:00,2:37:25,0,,,,,,,,,,,,,,1,4,,4,0.7,-0.7,27.3451,-82.5971,27.4063,-82.6287,56:28.6,FastGPS,,,,,15,10,21921,,,,20,13202,,,,12,24198,,,,25,15418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
