type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,Current Track: 06 JUN 2019 07:20,27.3339871410,-82.5748228468,27.333987141,-82.5748228468,true, , ,-33.03, , ,2019-06-06T11:20:23Z,GPSMAP 78, ,2019/06/06 07:20:23
TRACK,Current Track: 06 JUN 2019 07:20,27.3339711316,-82.5747920014,27.3339711316,-82.5747920014,False, , ,-24.38, , ,2019-06-06T11:20:33Z,GPSMAP 78, ,2019/06/06 07:20:33
TRACK,Current Track: 06 JUN 2019 07:20,27.3339772504,-82.5747544505,27.3339772504,-82.5747544505,False, , ,-18.61, , ,2019-06-06T11:20:44Z,GPSMAP 78, ,2019/06/06 07:20:44
TRACK,Current Track: 06 JUN 2019 07:20,27.3339315690,-82.5747436378,27.333931569,-82.5747436378,False, , ,-15.24, , ,2019-06-06T11:20:54Z,GPSMAP 78, ,2019/06/06 07:20:54
TRACK,Current Track: 06 JUN 2019 07:20,27.3337640986,-82.5746227708,27.3337640986,-82.5746227708,False, , ,4.46, , ,2019-06-06T11:21:04Z,GPSMAP 78, ,2019/06/06 07:21:04
TRACK,Current Track: 06 JUN 2019 07:20,27.3337237816,-82.5745216850,27.3337237816,-82.574521685,False, , ,3.98, , ,2019-06-06T11:21:14Z,GPSMAP 78, ,2019/06/06 07:21:14
TRACK,Current Track: 06 JUN 2019 07:20,27.3336575646,-82.5744703878,27.3336575646,-82.5744703878,False, , ,5.42, , ,2019-06-06T11:21:24Z,GPSMAP 78, ,2019/06/06 07:21:24
TRACK,Current Track: 06 JUN 2019 07:20,27.3335944489,-82.5744116306,27.3335944489,-82.5744116306,False, , ,3.02, , ,2019-06-06T11:21:34Z,GPSMAP 78, ,2019/06/06 07:21:34
TRACK,Current Track: 06 JUN 2019 07:20,27.3335496057,-82.5743698049,27.3335496057,-82.5743698049,False, , ,3.02, , ,2019-06-06T11:21:44Z,GPSMAP 78, ,2019/06/06 07:21:44
TRACK,Current Track: 06 JUN 2019 07:20,27.3333992343,-82.5742395502,27.3333992343,-82.5742395502,False, , ,4.94, , ,2019-06-06T11:21:54Z,GPSMAP 78, ,2019/06/06 07:21:54
TRACK,Current Track: 06 JUN 2019 07:20,27.3332807142,-82.5740396418,27.3332807142,-82.5740396418,False, , ,3.5, , ,2019-06-06T11:22:04Z,GPSMAP 78, ,2019/06/06 07:22:04
TRACK,Current Track: 06 JUN 2019 07:20,27.3332061153,-82.5738771167,27.3332061153,-82.5738771167,False, , ,4.46, , ,2019-06-06T11:22:14Z,GPSMAP 78, ,2019/06/06 07:22:14
TRACK,Current Track: 06 JUN 2019 07:20,27.3331409879,-82.5737519749,27.3331409879,-82.5737519749,False, , ,4.94, , ,2019-06-06T11:22:24Z,GPSMAP 78, ,2019/06/06 07:22:24
TRACK,Current Track: 06 JUN 2019 07:20,27.3331047781,-82.5736134220,27.3331047781,-82.573613422,False, , ,5.42, , ,2019-06-06T11:22:34Z,GPSMAP 78, ,2019/06/06 07:22:34
TRACK,Current Track: 06 JUN 2019 07:20,27.3331507947,-82.5734822452,27.3331507947,-82.5734822452,False, , ,5.42, , ,2019-06-06T11:22:44Z,GPSMAP 78, ,2019/06/06 07:22:44
TRACK,Current Track: 06 JUN 2019 07:20,27.3331992421,-82.5733402558,27.3331992421,-82.5733402558,False, , ,5.42, , ,2019-06-06T11:22:54Z,GPSMAP 78, ,2019/06/06 07:22:54
TRACK,Current Track: 06 JUN 2019 07:20,27.3332246393,-82.5731880404,27.3332246393,-82.5731880404,False, , ,4.46, , ,2019-06-06T11:23:04Z,GPSMAP 78, ,2019/06/06 07:23:04
TRACK,Current Track: 06 JUN 2019 07:20,27.3332850728,-82.5730368309,27.3332850728,-82.5730368309,False, , ,4.94, , ,2019-06-06T11:23:14Z,GPSMAP 78, ,2019/06/06 07:23:14
TRACK,Current Track: 06 JUN 2019 07:20,27.3332858272,-82.5728715397,27.3332858272,-82.5728715397,False, , ,3.98, , ,2019-06-06T11:23:24Z,GPSMAP 78, ,2019/06/06 07:23:24
TRACK,Current Track: 06 JUN 2019 07:20,27.3332758527,-82.5727019738,27.3332758527,-82.5727019738,False, , ,4.46, , ,2019-06-06T11:23:34Z,GPSMAP 78, ,2019/06/06 07:23:34
TRACK,Current Track: 06 JUN 2019 07:20,27.3333351966,-82.5725566316,27.3333351966,-82.5725566316,False, , ,5.42, , ,2019-06-06T11:23:44Z,GPSMAP 78, ,2019/06/06 07:23:44
