type,tident,ident,Latitude,Longitude,y_proj,x_proj,comment,new_trk,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime,desc,link
TRACK,Current Track: 12 JUN 2019 07:14,T1,27.3338395357,-82.5747131277,27.3338395357,-82.5747131277,,True,True,,,-3.71,,,2019/06/12 11:14:17+00,garmin GPSMAP 78sc Software Version 690,,2019/06/12 07:14:17,,
TRACK,Current Track: 12 JUN 2019 07:14,T1,27.3338475823,-82.5746983755,27.3338475823,-82.5746983755,,False,False,,,-4.67,,,2019/06/12 11:14:28+00,garmin GPSMAP 78sc Software Version 690,,2019/06/12 07:14:28,,
TRACK,Current Track: 12 JUN 2019 07:14,T1,27.33384775,-82.5747014768,27.33384775,-82.5747014768,,False,False,,,-4.67,,,2019/06/12 11:14:38+00,garmin GPSMAP 78sc Software Version 690,,2019/06/12 07:14:38,,
TRACK,Current Track: 12 JUN 2019 07:14,T1,27.3338480853,-82.5747022312,27.3338480853,-82.5747022312,,False,False,,,-5.63,,,2019/06/12 11:14:48+00,garmin GPSMAP 78sc Software Version 690,,2019/06/12 07:14:48,,
TRACK,Current Track: 12 JUN 2019 07:14,T1,27.3338337522,-82.5747029856,27.3338337522,-82.5747029856,,False,False,,,-4.19,,,2019/06/12 11:14:58+00,garmin GPSMAP 78sc Software Version 690,,2019/06/12 07:14:58,,
TRACK,Current Track: 12 JUN 2019 07:14,T1,27.3338377755,-82.5746961962,27.3338377755,-82.5746961962,,False,False,,,-1.79,,,2019/06/12 11:15:08+00,garmin GPSMAP 78sc Software Version 690,,2019/06/12 07:15:08,,
TRACK,Current Track: 12 JUN 2019 07:14,T1,27.3338478338,-82.5746873114,27.3338478338,-82.5746873114,,False,False,,,-1.3,,,2019/06/12 11:15:18+00,garmin GPSMAP 78sc Software Version 690,,2019/06/12 07:15:18,,
TRACK,Current Track: 12 JUN 2019 07:14,T1,27.3338459898,-82.5746929273,27.3338459898,-82.5746929273,,False,False,,,-0.82,,,2019/06/12 11:15:28+00,garmin GPSMAP 78sc Software Version 690,,2019/06/12 07:15:28,,
TRACK,Current Track: 12 JUN 2019 07:14,T1,27.3338368535,-82.5746955257,27.3338368535,-82.5746955257,,False,False,,,-0.34,,,2019/06/12 11:15:38+00,garmin GPSMAP 78sc Software Version 690,,2019/06/12 07:15:38,,
TRACK,Current Track: 12 JUN 2019 07:14,T1,27.3338187486,-82.5746924244,27.3338187486,-82.5746924244,,False,False,,,-0.34,,,2019/06/12 11:15:48+00,garmin GPSMAP 78sc Software Version 690,,2019/06/12 07:15:48,,
