"","X1","Name","ID","Day","Time","Time Offset","TimeOffset.mmss","GMT","Tag.Time","Snap","Follow.Time","Tdiff","Distance.RF","Distance.V","Distance","Bearing.Goni","Bearing.HH","TagClear","TCL","TCC","TCR","Behav","WPT","Comments","Count","Satellites","Bad Sats","Good.Sats","Residual","Time Error","Latitude","Longitude","Follow.Time.","Track.Time","Track.Lat","Track.Lon","Tdiff.Follow.Track","Tdiff.Tag.Track","LocSolve.Lat","LocSolve.Lon","Geoid","SatsUsed","Clk Error","CEP","R95","N/A","LocSolve.Residual","X48","Tag.Lat.WGS","Tag.Lon.WGS","Tag.Lat.UTM","Tag.Lon.UTM","LS.Tag.Lat.WGS","LS.Tag.Lon.WGS","LS.Tag.Lat.UTM","LS.Tag.Lon.UTM","Track.Lat.WGS","Track.Lon.WGS","Track.Lat.UTM","Track.Lon.UTM","Dolphin.Lon","Dolphin.Lat","Dolphin.Lat.WGS","Dolphin.Lon.WGS","Dolphin.Lat.UTM","Dolphin.Lon.UTM","dist.UTM","dist.WGS","LS.dist.UTM","LS.dist.WGS","PTT"
"1",1,179062,"F283",2019-06-05,19:21:16,-17,00:00:17,04:00:00,15:20:59,1,15:21:00,00:00:01,NA,30,30,NA,340,"Y","Y","Y","Y",NA,NA,NA,1,4,NA,4,0.2,0.2,27.4854,-82.7022,15:21:00,15:21:00,27.48517966,-82.70225812,00:00:00,00:00:01,27.485257,-82.702546,-26,4,0.055,0,0,0,0.207113,NA,27.4854,-82.7022,1274385.65556499,-10257555.3128754,27.485257,-82.702546,1274349.43813413,-10257540.9504334,27.48517966,-82.70225812,1274380.46760811,-10257550.242658,-82.7023619458488,27.4854340636501,27.4854340636501,-82.7023619458488,1274368.24314675,-10257549.9576724,18.2173134383126,16.4434257505949,20.8508717772087,26.7547392801916,"179062"
"2",2,179062,"F283",2019-06-05,20:24:29,-17,00:00:17,04:00:00,16:24:12,2,16:24:20,00:00:08,NA,100,100,NA,340,"Y","Y","Y","Y","TR",NA,NA,4,5,NA,5,14.1,-0.5,27.5023,-82.7078,16:24:20,16:24:20,27.50160224,-82.70761441,00:00:00,00:00:08,27.502212,-82.707648,-26,5,0.505,24.152596,50.210831,0,16.011999,NA,27.5023,-82.7078,1273711.83790243,-10257582.7841568,27.502212,-82.707648,1273728.43483343,-10257587.0576795,27.50160224,-82.70761441,1273734.79621917,-10257580.0174898,-82.7079605493766,27.5024502498274,27.5024502498274,-82.7079605493766,1273694.04602035,-10257579.0452173,18.1805042916635,22.9970776337192,35.3099138589671,40.629595273267,"179062"
"3",3,179062,"F283",2019-06-05,20:39:57,-17,00:00:17,04:00:00,16:39:40,3,16:39:45,00:00:05,NA,100,100,NA,260,"Y","Y","Y","Y","TR",NA,NA,2,4,NA,4,0.2,-0.1,27.5064,-82.7097,16:39:45,16:39:44,27.50740478,-82.70954459,00:00:01,00:00:04,27.506371,-82.709741,-26,4,-0.09,0,0,0,1.483953,NA,27.5064,-82.7097,1273490.69037689,-10257569.9267046,27.506371,-82.709741,1273486.45433423,-10257568.0604851,27.50740478,-82.70954459,1273502.66371504,-10257589.1008533,-82.7105413018393,27.5072480705874,27.5072480705874,-82.7105413018393,1273397.18426154,-10257551.1450763,95.3737027211803,125.464631654901,90.8585545444069,125.294098639211,"179062"
"4",4,179062,"F283",2019-06-05,21:13:07,-17,00:00:17,04:00:00,17:12:50,4,17:11:59,00:00:51,NA,10,10,NA,150,"Y","Y","Y","Y","TR",NA,NA,3,4,NA,4,0.5,-0.1,27.5126,-82.7035,17:11:59,17:11:58,27.51254045,-82.70449617,00:00:01,00:00:52,27.512668,-82.703502,-26,4,-0.135,0,0,0,0.959629,NA,27.5126,-82.7035,1274122.95699309,-10257876.7458638,27.512668,-82.703502,1274122.43326204,-10257877.5941631,27.51254045,-82.70449617,1274017.09448529,-10257840.1119968,-82.7044455632279,27.5124622970604,27.5124622970604,-82.7044455632279,1274022.84323625,-10257840.8746112,106.346185050408,94.6605027346518,106.143764444081,95.9711568396793,"179062"
"5",5,179062,"F283",2019-06-05,21:28:14,-17,00:00:17,04:00:00,17:27:57,5,17:27:59,00:00:02,NA,40,40,NA,105,"Y","Y","Y","Y","TR",NA,NA,4,4,NA,4,1.4,-0.4,27.5184,-82.6978,17:27:59,17:27:58,27.51925075,-82.69769811,00:00:01,00:00:01,27.519138,-82.697611,-26,4,-0.385,0,0,0,3.241888,NA,27.5184,-82.6978,1274703.73176885,-10258160.304661,27.519138,-82.697611,1274720.49254961,-10258177.0993929,27.51925075,-82.69769811,1274710.6962162,-10258175.4922518,-82.6973070272163,27.519157322873,27.519157322873,-82.6973070272163,1274752.78930463,-10258188.2977351,56.4823336508504,97.0290366690697,34.1830842897844,30.1072378536721,"179062"
"6",6,179062,"F283",2019-06-05,21:43:55,-17,00:00:17,04:00:00,17:43:38,6,17:44:53,00:01:15,NA,300,300,NA,225,"Y","Y","Y","Y","TR",NA,NA,2,5,NA,5,1.8,0,27.5257,-82.7004,17:44:53,17:44:52,27.52757424,-82.70068165,00:00:01,00:01:14,27.525816,-82.700474,-26,5,-0.027187,26.173056,54.411166,0,2.52667,NA,27.5257,-82.7004,1274393.34883442,-10258165.5896915,27.525816,-82.700474,1274384.93474547,-10258164.4967082,27.52757424,-82.70068165,1274354.77155903,-10258180.8243512,-82.702828969818,27.525659879294,27.525659879294,-82.702828969818,1274134.7629057,-10258077.6265,273.137704421142,239.997154848792,264.825192290441,233.287797035179,"179062"
"7",7,179062,"F283",2019-06-06,14:52:07,-21,00:00:21,04:00:00,10:51:46,7,10:52:43,00:00:57,NA,60,60,53,260,"Y","Y","Y","Y",NA,NA,NA,2,7,1,6,13.2,-1.4,27.4818,-82.696,10:52:43,10:52:40,27.48145575,-82.69576399,00:00:03,00:00:54,27.481875,-82.696132,-26,6,-0.366563,14.010347,29.126111,0,11.514361,NA,27.4818,-82.696,1275062.77155741,-10257729.2132331,27.481875,-82.696132,1275048.36271123,-10257725.489371,27.48145575,-82.69576399,1275089.49349435,-10257733.0237054,-82.6963618772439,27.4813617248604,27.4813617248604,-82.6963618772439,1275026.20951739,-10257710.280386,41.1732372647067,60.313218914879,26.8714945619045,61.2460241262088,"179062"
"8",8,179062,"F283",2019-06-06,16:57:39,-22,00:00:22,04:00:00,12:57:17,8,12:58:13,00:00:56,NA,50,50,NA,30,"Y","Y","Y","Y",NA,NA,NA,2,4,NA,4,0.7,-0.8,27.4767,-82.6737,12:58:13,12:58:10,27.47650665,-82.6731554,00:00:03,00:00:53,27.476555,-82.67338,-26,4,0.165,0,0,0,4.111632,NA,27.4767,-82.6737,1277462.54507475,-10258460.7138221,27.476555,-82.67338,1277497.3118209,-10258470.2319714,27.47650665,-82.6731554,1277521.46914761,-10258477.6385617,-82.6729024474393,27.4768974164331,27.4768974164331,-82.6729024474393,1277546.63719685,-10258492.0319307,89.7346584543972,81.8036728082957,53.9280162975562,60.5586845140317,"179062"
"9",9,179062,"F283",2019-06-13,12:56:23,-58,00:00:58,04:00:00,08:55:25,9,08:55:27,00:00:02,NA,15,15,NA,165,"Y","Y","Y","Y","TR",63,"frame 24 of cam a",3,5,1,4,1.3,-1.1,27.478,-82.6908,08:55:27,08:55:31,27.47810164,-82.69104565,00:00:04,00:00:06,27.477939,-82.690889,-26,4,-0.10625,0,0,0,2.565808,NA,27.478,-82.6908,1275634.26666687,-10257864.4192015,27.477939,-82.690889,1275625.06084741,-10257860.3967172,27.47810164,-82.69104565,1275607.62414752,-10257856.9777431,-82.6910063682551,27.4779708869457,27.4779708869457,-82.6910063682551,1275612.40758108,-10257856.6152068,23.210384845401,20.6493043557989,13.2062473838647,12.1259458868397,"179062"
"10",10,179062,"F283",2019-06-13,14:10:15,-58,00:00:58,04:00:00,10:09:17,10,10:09:31,00:00:14,NA,75,75,NA,270,"Y","Y","Y","Y","TR",99,NA,4,7,3,4,0.3,-1.3,27.4787,-82.7004,10:09:31,10:09:31,27.47883582,-82.69961178,00:00:00,00:00:14,27.478812,-82.700432,-26,7,-0.3575,13.907028,28.91132,0,11.81607,NA,27.4787,-82.7004,1274608.03685242,-10257529.2352612,27.478812,-82.700432,1274604.11580311,-10257529.6029909,27.47883582,-82.69961178,1274691.41381548,-10257559.3741648,-82.7003706509637,27.4788358179318,27.4788358179318,-82.7003706509637,1274610.54479088,-10257532.1281473,3.82864802173726,15.3271002933722,6.9071194234587,6.61272418079794,"179062"
