"","X1","Name","ID","Day","Time","Time Offset","TimeOffset.mmss","GMT","Tag.Time","Snap","Follow.Time","Tdiff","Distance.RF","Distance.V","Distance","Bearing.Goni","Bearing.HH","TagClear","TCL","TCC","TCR","Behav","WPT","Comments","Count","Satellites","Bad Sats","Good.Sats","Residual","Time Error","Latitude","Longitude","Follow.Time.","Track.Time","Track.Lat","Track.Lon","Tdiff.Follow.Track","Tdiff.Tag.Track","LocSolve.Lat","LocSolve.Lon","Geoid","SatsUsed","Clk Error","CEP","R95","N/A","LocSolve.Residual","Comment","crwl.lon.tag","crwl.lat.tag","crwl.lon.follow","crw.lat.follow","Tag.Lat.WGS","Tag.Lon.WGS","Tag.Lat.UTM","Tag.Lon.UTM","LS.Tag.Lat.WGS","LS.Tag.Lon.WGS","LS.Tag.Lat.UTM","LS.Tag.Lon.UTM","Dolphin.Lon","Dolphin.Lat","dist.WGS","distance","LS.distance"
"1",1,179062,"F283",2019-06-05,19:21:16,-17,00:00:17,04:00:00,15:20:59,1,15:21:00,00:00:01,NA,30,30,NA,340,"Y","Y","Y","Y",NA,NA,NA,1,4,NA,4,0.2,0.2,27.4854,-82.7022,15:21:00,15:21:00,27.48517966,-82.70225812,00:00:00,00:00:01,27.485257,-82.702546,-26,4,0.055,0,0,0,0.207113,NA,-82.702254,27.48516,-82.702252,27.485166,27.4854,-82.7022,1274385.65556499,-10257555.3128754,27.485257,-82.702546,1274349.43813413,-10257540.9504334,-82.702355825836,27.4854204036506,15.5646051313765,15.5646051313765,26.0974413820917
"2",2,179062,"F283",2019-06-05,20:24:29,-17,00:00:17,04:00:00,16:24:12,2,16:24:20,00:00:08,NA,100,100,NA,340,"Y","Y","Y","Y","TR",NA,NA,4,5,NA,5,14.1,-0.5,27.5023,-82.7078,16:24:20,16:24:20,27.50160224,-82.70761441,00:00:00,00:00:08,27.502212,-82.707648,-26,5,0.505,24.152596,50.210831,0,16.011999,NA,-82.707621,27.50151,-82.707627,27.50157,27.5023,-82.7078,1273711.83790243,-10257582.7841568,27.502212,-82.707648,1273728.43483343,-10257587.0576795,-82.7079731392758,27.5024180098314,21.5333225212844,21.5333225212844,39.4116161726797
"3",3,179062,"F283",2019-06-05,20:39:57,-17,00:00:17,04:00:00,16:39:40,3,16:39:45,00:00:05,NA,100,100,NA,260,"Y","Y","Y","Y","TR",NA,NA,2,4,NA,4,0.2,-0.1,27.5064,-82.7097,16:39:45,16:39:44,27.50740478,-82.70954459,00:00:01,00:00:04,27.506371,-82.709741,-26,4,-0.09,0,0,0,1.483953,NA,-82.709484,27.507415,-82.709583,27.507395,27.5064,-82.7097,1273490.69037689,-10257569.9267046,27.506371,-82.709741,1273486.45433423,-10257568.0604851,-82.7105797117512,27.5072382905872,127.217166143781,127.217166143781,126.900476949182
"4",4,179062,"F283",2019-06-05,21:13:07,-17,00:00:17,04:00:00,17:12:50,4,17:11:59,00:00:51,NA,10,10,NA,150,"Y","Y","Y","Y","TR",NA,NA,3,4,NA,4,0.5,-0.1,27.5126,-82.7035,17:11:59,17:11:58,27.51254045,-82.70449617,00:00:01,00:00:52,27.512668,-82.703502,-26,4,-0.135,0,0,0,0.959629,NA,-82.704191,27.51294,-82.704488,27.512554,27.5126,-82.7035,1274122.95699309,-10257876.7458638,27.512668,-82.703502,1274122.43326204,-10257877.5941631,-82.7044373932217,27.5124758470606,93.631568781173,93.631568781173,94.8388833861662
"5",5,179062,"F283",2019-06-05,21:28:14,-17,00:00:17,04:00:00,17:27:57,5,17:27:59,00:00:02,NA,40,40,NA,105,"Y","Y","Y","Y","TR",NA,NA,4,4,NA,4,1.4,-0.4,27.5184,-82.6978,17:27:59,17:27:58,27.51925075,-82.69769811,00:00:01,00:00:01,27.519138,-82.697611,-26,4,-0.385,0,0,0,3.241888,NA,-82.697724,27.519224,-82.69771,27.519247,27.5184,-82.6978,1274703.73176885,-10258160.304661,27.519138,-82.697611,1274720.49254961,-10258177.0993929,-82.6973189172296,27.5191535728729,96.0833999722357,96.0833999722357,28.9078799208429
"6",6,179062,"F283",2019-06-05,21:43:55,-17,00:00:17,04:00:00,17:43:38,6,17:44:53,00:01:15,NA,300,300,NA,225,"Y","Y","Y","Y","TR",NA,NA,2,5,NA,5,1.8,0,27.5257,-82.7004,17:44:53,17:44:52,27.52757424,-82.70068165,00:00:01,00:01:14,27.525816,-82.700474,-26,5,-0.027187,26.173056,54.411166,0,2.52667,NA,-82.699912,27.527156,-82.700676,27.527584,27.5257,-82.7004,1274393.34883442,-10258165.5896915,27.525816,-82.700474,1274384.93474547,-10258164.4967082,-82.7028233200076,27.5256696392967,239.421460497099,239.421460497099,232.653292468729
"7",7,179062,"F283",2019-06-06,14:52:07,-21,00:00:21,04:00:00,10:51:46,7,10:52:43,00:00:57,NA,60,60,53,260,"Y","Y","Y","Y",NA,NA,NA,2,7,1,6,13.2,-1.4,27.4818,-82.696,10:52:43,10:52:40,27.48145575,-82.69576399,00:00:03,00:00:54,27.481875,-82.696132,-26,6,-0.366563,14.010347,29.126111,0,11.514361,NA,-82.695334,27.481897,-82.695836,27.481432,27.4818,-82.696,1275062.77155741,-10257729.2132331,27.481875,-82.696132,1275048.36271123,-10257725.489371,-82.6964338871157,27.4813379748601,66.7826376645713,66.7826376645713,66.5685915932419
"8",8,179062,"F283",2019-06-06,16:57:39,-22,00:00:22,04:00:00,12:57:17,8,12:58:13,00:00:56,NA,50,50,NA,30,"Y","Y","Y","Y",NA,NA,NA,2,4,NA,4,0.7,-0.8,27.4767,-82.6737,12:58:13,12:58:10,27.47650665,-82.6731554,00:00:03,00:00:53,27.476555,-82.67338,-26,4,0.165,0,0,0,4.111632,NA,-82.673547,27.475665,-82.673098,27.476569,27.4767,-82.6737,1277462.54507475,-10258460.7138221,27.476555,-82.67338,1277497.3118209,-10258470.2319714,-82.6728450472969,27.4769597664296,89.2658081089378,89.2658081089378,69.3331798355712
"9",9,179062,"F283",2019-06-13,12:56:23,-58,00:00:58,04:00:00,08:55:25,9,08:55:27,00:00:02,NA,15,15,NA,165,"Y","Y","Y","Y","TR",63,"frame 24 of cam a",3,5,1,4,1.3,-1.1,27.478,-82.6908,08:55:27,08:55:31,27.47810164,-82.69104565,00:00:04,00:00:06,27.477939,-82.690889,-26,4,-0.10625,0,0,0,2.565808,NA,-82.690924,27.478196,-82.690947,27.478175,27.478,-82.6908,1275634.26666687,-10257864.4192015,27.477939,-82.690889,1275625.06084741,-10257860.3967172,-82.6909077182291,27.4780442469471,11.7207871799909,11.7207871799909,11.8083406063054
"10",10,179062,"F283",2019-06-13,14:10:15,-58,00:00:58,04:00:00,10:09:17,10,10:09:31,00:00:14,NA,75,75,NA,270,"Y","Y","Y","Y","TR",99,NA,4,7,3,4,0.3,-1.3,27.4787,-82.7004,10:09:31,10:09:31,27.47883582,-82.69961178,00:00:00,00:00:14,27.478812,-82.700432,-26,7,-0.3575,13.907028,28.91132,0,11.81607,NA,-82.699621,27.478802,-82.699604,27.478803,27.4787,-82.7004,1274608.03685242,-10257529.2352612,27.478812,-82.700432,1274604.11580311,-10257529.6029909,-82.7003628707388,27.4788029979318,11.9887094863241,11.9887094863241,6.90455643695269
